Sample Name	Marker	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7	
544&539-1:4.5B	D3S1358	15	16	17					1328	1140	218					
544&539-1:4.5B	D13S317	8	10	11					1133	936	118					
544&539-1:4.5B	D7S820	8	9	11	12				290	1484	232	1222				
544&539-1:4.5B	D16S539	9	12						1335	1596						
544&539-1:4.5B	Penta E	9	11	19	23				744	232	689	173				
544&539-1:4.5B	D2S441	9	11	14					130	2488	69					
544&539-1:4.5B	TPOX	8	12						920	239						
544&539-1:4.5B	TH01	7	9						1741	607						
544&539-1:4.5B	D2S1338	20	23	24					1000	231	519					
544&539-1:4.5B	CSF1PO	10	11	12					287	1080	967					
544&539-1:4.5B	Penta D	8	10	12					1406	203	1545					
544&539-1:4.5B	D10S1248	13	15						2000	1013						
544&539-1:4.5B	D19S433	13	14	15.2	16				208	263	581	744				
544&539-1:4.5B	vWA	16	17	18	19				150	595	603	69				
544&539-1:4.5B	D21S11	27.2	31.2	33.2					128	1130	121					
544&539-1:4.5B	D18S51	12	13	18					1070	81	715					
544&539-1:4.5B	D6S1043	14	18	19					928	950	78					
544&539-1:4.5B	Amel	X							1025							
544&539-1:4.5B	D8S1179	11	12	13	16				110	93	503	481				
544&539-1:4.5B	D5S818	7	11	12	13				167	777	172	750				
544&539-1:4.5B	D12S391	15	18	20					56	149	1362					
544&539-1:4.5B	FGA	22	23	24.2					610	238	509					
